Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Jishnu,,Coop,not suitable currently,Refill Stations,Consumer Goods,Switzerland,https://www.coop.ch/en/company/kontakt/kontaktformular.html,https://www.coop.ch/de/,Yes,coop_schweiz,Yes,1969,Active,Cooperative (non-profit),"Major retailer piloting bulk refill stations (nuts, grains, pulses)","90,000+ employees",,Switzerland,,,,,,,,"Major retailer piloting bulk nuts, grains, and pulses in large dispensers encouraging reuse of refillable bags or jars."
Jishnu,,Cosmogen,"04/07, Jishnu",Refillable Products,Consumer Goods,France,cosmogen@cosmogen.fr,https://www.cosmogen.fr/,Yes,,,,Active,Private,B2B cosmetic applicator and refill pouch systems,,,France,,,,,,,,Cosmetic applicator and refill pouch system allows user to reuse dispenser bodies with replaceable product cartridges.
Jishnu,,Costa Brazil,low priority,Refillable Products,Consumer Goods,Brazil ,https://livecostabrazil.com/pages/contact-us,https://livecostabrazil.com/,Yes,,,,Active,Private,Sustainable luxury beauty + refillable perfume cartridges,,,Brazil and US,,,,,,,,"A sustainable beauty brand offering refillable perfume cartridges, bath salt refills, and travel-sized body care products in recyclable or reusable packaging."
Kaat,,Cup Club,not suitable currently,Reusable Packaging,Packaging Solutions,United Kingdom,hello@clubzero.co,https://www.clubzero.co,Yes,,,,Active (rebranded as ClubZero),Private (same entity as ClubZero — Acet Circular Solutions Ltd),Reusable coffee cup system for cafés and restaurants,,,United Kingdom,,,,,,Predecessor brand to ClubZero. Same entity: Acet Circular Solutions Ltd.,,Launched a system that reuses coffee cups in cafés and restaurants
Krita,,Cupable,low priority,Refillable bottles ,Consumer Goods ,India,team@cupable.in,https://cupable.in/,Yes,,,,Active,Private,Customisable reusable cup rental for companies and events,,,India,,,,,,,,Sells/rents customisable cups to comapnies and events for use
Krita,,Cupkita,low priority,Reusable cups,Consumer goods ,Indonesia,https://zerowastelivinglab.enviu.org/contact/,https://zerowastelivinglab.enviu.org/our-ventures/cupkita/,Yes,,,,Active,Private (Enviu venture),QR-code deposit reusable cups — smart bin return for deposit refund,,,Indonesia,,,,,,,,Provides reusable cups in exchange for a refundable digital deposit via a QR code when buying a drink. Returning cups to smart bins for washing  means they get deposit back . 
Kaat,,CupLoop,not suitable currently,Reusable Containers,Packaging Solutions,Estonia,info@cuploop.com,https://cuploop.com,Yes,,,,Active,Private,QR-tracked reusable packaging in vending machines with deposit system,,,Estonia,,,,,,,,Offers Reusable Packaging in vending machines with a deposit system. Container usage is tracked with QR code technology
Kaat,,Cyclic Design,not suitable currently,Reusable Packaging,Packaging solutions ,Germany,,,,,,,Active,Private,Refillable containers for personal care products,,,Germany,,,,,,,,Produces refillable containers for personal care products
Jishnu,,Damn Plastic,"02/07, Jishnu",Zero Waste ,Consumer Goods,Austria,https://damnplastic.com/en/pages/contact,https://damnplastic.com/en,Yes,,,,Active,Private,Zero-waste retail store + event consultancy in bulk reusable packaging,,,Austria,,,,,,,,A plastic-free retail store and event consultancy supplying bulk household and personal care items in reusable packaging.
Jishnu,,DariHulu Store,low priority,Refill Stations,Consumer Goods,Indonesia,https://www.instagram.com/darihulu.store/,https://www.instagram.com/darihulu.store/,No,darihulu.store,Yes,,Active,Private,Community bulk-store — dry goods and eco-cleaners for refill,,,Indonesia,,,,,,,,"Community bulk‑store selling dry goods and eco‑cleaners for refill in reusable packaging, combining online and offline access."
Jishnu,,Day by Day,"02/07, Jishnu",Refill Stations,Consumer Goods,France,contact@daybyday-shop.com,https://daybyday-shop.com/,Yes,daybyday_shop,Yes,2013,Active,Private,Zero-waste bulk grocery chain with reusable/returnable containers,51-200 employees,,France,,,,,,,,"Chain grocery store offering bulk shopping with reusable and returnable containers for food, personal care, and cleaning essentials."
Prathmesh ,,Delivery-Refillery,"24/06, Jishnu",Refill and Reuse supply chain ,Consumer Services,United States,Deliveryrefillery@gmail.com,https://www.deliveryrefillery.com/,Yes,,,,Active,Private,Per-ounce delivery refill service for consumer goods,,,United States,,,,,,,,"Makes refiil deliveries simple for consumers, offering deliveries per-ounce for consumer goods"
Kaat,,Delterra,low priority,Circular-economy solutions,Packaging Solutions,Argentina,https://delterra.org/join-us/,https://delterra.org/our-programs/argentina/?utm_source=chatgpt.com,Yes,,,,Active,Non-profit social enterprise,Corporate circular economy solutions including reuse and refilling,,,Argentina,,,,,,,,"A social enterprise that collaborates with corporations to create cicular-economy solutions, these include reuse and refilling"
Jishnu,,Deplastificate,"26/06, Jishnu",Reusable Packaging,Consumer Goods,Mexico,help@desplastificate.com.mx,https://www.desplastificate.com.mx/,Yes,deplastificate,Yes,,Active,Private,B2C biodegradable/returnable glass bottle home delivery + empty pickup,,,Mexico,,,,,,,,"Produces biodegradable cleaning and personal care in returnable glass bottles, with home delivery and empty pick-ups in Mexico City."
Jishnu,,Despensa R - Granel Sustentável ,"24/06, Jishnu",Refill Stations,Consumer Goods,Portugal,info@despensar.pt,https://www.despensar.pt/,Yes,,,,Active,Private,Bulk food and eco-product refill store,,,Portugal,,,,,,,,"Bulk-food and eco-product store offering refills for dry goods, personal care, and household cleaners in reusable packaging minimizing single-use waste."
Kaat,,DiFold,not suitable currently,Reusable Products ,Consumer Goods,Bulgaria,https://difold.com/pages/contact,https://difold.com/?srsltid=AfmBOoqfESQhNck01_20Z5u_i8h9m4Utwwz6yZjOI2sZqykhho1j2bjI,Yes,,,,Active,Private,Innovative collapsible reusable container and bottle designs,,,Bulgaria,,,,,,,,Develops innovative designs of reusable containers/ bottles
"Giulia, 30/06",,Dilute ,30/06,Refillable Products,Cleaning and Laundry products,Denmark ,info@humdakin.com , https://diluteshop.com/en,Yes,,,,Active,Private (Humdakin brand),Plastic-free powder-in-paper cleaning pouches,,,Denmark,,,,,,,,Offers cleaning pouches that are effective plastic free cleaning solutions 
Kaat,,Dispo Plastik Ltd,not suitable currently,Reusable Packaging,Packaging Solutions,Turkey,info@dispoplastik.com,https://www.dispoplastik.com,Yes,,,,Active,Private,B2B reusable plastic plates and microwave-safe food containers,,,Turkey,,,,,,,,Sells reusable plastic plates and microwave-safe food containers
Krita,,Divers Clean Action,low priority,Refill and Reuse supply chain ,Consumer goods ,Indonesia,https://www.diverscleanaction.org/contact-us,https://www.diverscleanaction.org/,Yes,,,,Active,Non-profit,Toka Cura reuse/refill initiative — return empties for discount,,,Indonesia,,,,,,,,"Uses initiative called ""Toka Cura"" (translates to reuse and refill). When done using products, customers return empty containers and get discount on their next product. "
Kaat,,Dotch,not suitable currently,Reusable Packagaing,Packaging solutions ,Germany,https://www.dotch.de/en/kontakt,https://www.dotch.de/en,Yes,,,,Active,Private,B2B reusable food and cooking oil packaging system,,,Germany,,,,,,,,"Reusable Packaging system B2B, mainly for food and cooking oils"
Jishnu,,DPD,"02/07, Jishnu",Reusable Packaging ,Consumer Services,Germany,https://www.linkedin.com/company/dpd-deutschland/,https://www.dpd.com/de/de/,Yes,dpdgroup,Yes,1976,Active,Subsidiary (GeoPost / La Poste Group),Reusable shipping box pilot + clothing donation to charities,"50,000+ employees",,Europe and global,,,,,,,,"Tests reusable shipping boxes in partnership with startups for e‑commerce, returning packaging for cleaning and reuse. Also donates used clothes to charities for reuse."
Jishnu,,DSF-LSI,low priority,Reusable Products,Business Service Provider,South Korea,dsf@dsf-kr.com,https://dsf-kr.com/,Yes,,,,Active,Private,Reusable container and cup return system for restaurants (scalable),,,South Korea,,,,,,,,Developed and commercialized a reusable container and cup return system for restaurants enabling a scalable circular solution.
Kaat,,Dükkan Kadıköy,not suitable currently,Refillable products ,Consumer Goods ,Turkey,0216 418 52 98,https://kadikoydukkan.kadikoy.bel.tr,Yes,,,,Active,Municipal/public (Kadıköy Municipality),"Zero-waste shop with refills for kitchen, hygiene and food products",,,Turkey (Istanbul — Kadıköy),,,,,,,,"Zero waste shop that sells refills for kitchen, personal hygiene, food and cleaning products"
Jishnu,,E-Mart,low priority,Refill Stations,Consumer Goods,South Korea,https://www.facebook.com/emartcompany,https://store.emart.com/main/main.do,Yes,emart_official,Yes,1993,Active,Public listed (KRX: 139480),Pilot laundry detergent and fabric care refill stations in stores,,,South Korea,,,,,,,,Pilot refill stations in E-Mart stores dispensing laundry detergent and fabric care to encourage reuse-friendly consumer habits.
Jishnu,,Earth Way Refill,"02/07, Jishnu",Refill Stations,Consumer Goods,Ireland,Info.earthwayrefill@gmail.com,https://www.facebook.com/Earthwayrefillcork/,No,earthwayrefillcork,Yes,,Active,Private,"Package-free bulk refill store (food, eco swaps, cleaning)",,,Ireland (Cork),,,,,,,,"Cork’s packaging‑free store offering bulk foods, eco swaps, cleaning refills, and local zero‑waste initiatives."
Prathmesh,,EarthHero,"27/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,hello@earthhero.com,https://earthhero.com/,Yes,earthhero,Yes,,Active,Private,B2C eco-friendly consumer products marketplace,,,United States,,,,,,,,Provides eco-friendly consumer products in sustainable packaging​
Jishnu,,Earthware,"26/06, Jishnu",Zero waste,Consumer Goods,South Africa,info@earthware.co.za,https://earthware.co.za/,Yes,,,,Active,Private,Compostable palm-leaf tableware from fallen areca palm leaves,,,South Africa,,,,,,,,"Sells compostable palm‑leaf plates, bowls, and platters made from fallen areca palm leaves—providing eco‑friendly disposable tableware."
Kaat,,Ebebek,not suitable currently,Refillable Products,Consumer Goods ,Turkey,https://ebebek.co.uk/pages/contact-us,https://ebebek.co.uk/?gad_source=1&gad_campaignid=19610959870&gbraid=0AAAAApD2sjv6_CvfuP82e09QPWfBtV1KA&gclid=CjwKCAjwgb_CBhBMEiwA0p3oOCqLsS6MCznRzIM5YiA-dWB4mLpnzCYSJbRqTjM1vtprbKfAdBxGcxoCM5QQAvD_BwE,Yes,,,,Active,Subsidiary (international baby goods retail chain),Baby retail with bulk dispensers for laundry and fabric care,,,Turkey,,,,,,,,"Offers refills at bulk dispensers for laundry detergent, fabric softener "
Prathmesh,,EC30 (P&G),"27/06, Jishnu",Eco-Friendly Cleaning,Cleaning and Laundry Products,United States,https://ec30clean.com/contact-us/?srsltid=AfmBOoqcKVGNBrj-wce4rPbz-_hmSzrcVkBq609__Or55X6bLNLYn8Df,https://ec30clean.com/,Yes,,,,Active,Subsidiary (Procter & Gamble),B2C eco cleaning strips and laundry swashes (ultra-low waste),,,United States,,,,,,,,"Provides eco-friendly cleaning products like 'laundry swashes', which uses less waste and generates minimal waste i"
Jishnu,,Ecandi ,low priority,Refill Stations,Consumer Goods,Kenya,Info@ecandi.co.ke,https://ecandi.co.ke/refill/,Yes,,,,Active,Private,Zero-waste eco shop with bulk refill stations,,,Kenya (Nairobi),,,,,,,,Zero-waste eco shop in Nairobi offering bulk refill stations for ethically sourced food cleaning and personal care products encouraging reusable container use.
Mehak,,ECCBC / UNIDO PET pilot,low priority,Bottle-to-bottle rPET recycling,Beverage packaging,Morocco,https://www.unido.org/where-we-work/morocco,,,,,,,,,,,,,,,,,,,Pilot for food-grade rPET and collecting via waste-pickers supported by UNIDO
Prathmesh,,Eco & Amour,"26/06, Jishnu",Refillable Products,Consumer Goods,Canada,hello@ecoandamour.com,https://ecoandamour.com/,Yes,,,,Active,Private,Bulk refillery + container return system for home and body care,,,Canada,,,,,,,,"Offers bulk refillery, along with a container return system for home and body care"
Jishnu,,Eco Blocks and Tiles,low priority,Zero Waste,Materials Supplier,Kenya,info@ecoblocksandtiles.co.ke,https://www.ecoblocksandtiles.co.ke/,Yes,,,,Active,Private social enterprise,Houses and construction materials from recycled plastic bottles,,,Kenya,,,,,,,,Builds houses and construction materials from discarded plastic bottles and glass offering community‑driven reuse of waste in durable built environment solutions.
Kaat,,Eco Ego,"03/07, Jishnu",Refillable products ,Cleaning supplies,Poland,sekretariat@york.pl,https://ecoego.com.pl/en/,Yes,,,,Active,Private,Sustainable reusable cleaning products + refills,,,Poland,,,,,,,,"Sells sustainable reusable cleaning products, offers refills as well"
Kaat,,Eco Product PK,low priority,Reusable packaging ,Packaging Solutions,Pakistan,Contact Us - Eco Product,Home - Eco Product,Yes,,,,Active,Private,"Reusable food, cosmetics and beverage packaging (pouches etc)",,,Pakistan,,,,,,,,"Reusable food, cosmetics and beverage packaging eg pouches"
Prathmesh,,Eco Refillery,"26/06, Jishnu",Refill Stations,Consumer Goods,Canada,vancouver@ecorefillery.com,https://ecorefillery.com/,Yes,,,,Active,Private,BYOB refill station for cleaning and personal care,,,Canada (Vancouver),,,,,,,,Refill station for cleaning & personal care; bring your own bottle or buy theirs.
Jishnu,,Eco Tienda Verde,"26/06, Jishnu",Zero Waste,Consumer Goods,Mexico,info@ecotiendaverde.es,https://ecotiendaverde.es/index.php,Yes,,,,Active,Private,Package-free online grocery + reusable/biodegradable household items,,,Mexico,,,,,,,,"Sells package-free groceries and reusable or biodegradable household items online, promoting continual container reuse."
Jishnu,,Eco Trace,low priority,Refill Stations,Consumer Goods,Kenya,dnjoroge@mku.ac.ke,https://www.ecotrace.ke/,Yes,,,,Active,Academic/research institution (MKU),"Digital refill pilot for low-income consumers (soap, detergent, oil)",,,Kenya,,,,,,,,Digital refill system pilot targeting low-income consumers supplying essential items like soap detergent and oil at refill stations to reduce single‑use plastic and sachets.
Prathmesh ,,Eco-Eclectic,"24/06, Jishnu",Eco-friendly product ,Consumer Goods,United States,ecoeclecticbusiness@gmail.com,https://www.eco-eclectic.com/,Yes,,,,Active,Private,Pop-up stores providing eco-friendly lifestyle resources,,,United States,,,,,,,,Pop-up stores providing eco-friendly resources and sustainable lifestyle options
Kaat,,Eco&More,low priority,Refillable Products,Consumer Goods ,China,info@eco-more.com,https://www.instagram.com/ecoandmore/,No,ecoandmore,Yes,,Active,Private,"Refill dispensers for soaps, shampoo and cleaning products",,,China,,,,,,,,"Offers refills at dispensers for soaps, shampoo and cleaning products"
Mehak,,EcoAlf,low priority,Refillable packaging & retail,"Personal care, cleaning products",Venezuela,info@ecoalf.com,http://ecoalf.com.ve/,Yes,,,,Active,Private,Refill stations for detergents and cleaning supplies,,,Venezuela,,,,,,,,Sells refill stations for detergents and cleaning supplies to reduce single-use plastic. Focuses on eco-friendly refillable packaging in urban areas.
Mehak,,EcoAmigos,low priority,Reuse & refill campaigns,Household products & packaging,Venezuela,ecoamigos.valencia@gmail.com,Instagram: @ecoamigos.ve,,,,,Active,Private,Refill pop-ups and community drives for refillable packaging,,,Venezuela,,,,,,,,Organizes refill pop-ups and community drives encouraging the use of refillable packaging for common products.
Kaat,,EcoBag,"03/07, Jishnu",Reusable Bags,Packaging Solutions,France,contact@ecobag.fr,https://www.ecobag.fr/en/,Yes,,,,Active,Private,Reusable shopping bags manufacturer and retailer,,,France,,,,,,,,Sells reusable shopping bags
Jishnu,,Ecoceno,not suitable currently,Reusable Packaging,Business Service Provider,Portugal,geral@ecoceno.pt,https://ecoceno.pt/en,Yes,,,,Active,Private,"Reusable meal-packaging systems for catering, events and stadiums",,,Portugal,,,,,,,,"Delivers reusable meal‑packaging systems for catering, events, and stadiums with deposit based retun system for containers."
Mehak,,Ecocitex,low priority,Textile recycling & reuse,"Textile waste → yarn, second-hand clothing",Chile, info@ecocitex.cl,https://www.ecocitex.cl/,Yes,,,,Active,Private social enterprise,Textile waste converted to recycled yarn without water or dyes,,,Chile,,,,,,,,"Converts textile waste into yarn without water or dyes. Sells recycled yarn, clothing, and kits."
Giulia ,,Ecodis,45840,Refillable products ,Consumer products ,France,contact@ecodis.fr ,ecodis,Yes,,,,Active,Private,Distributor of organic and ecological refillable cleaning/personal care,,,France,,,,,,,,Distributor of organic and ecological products including refillable cleaning and personal care.
Jishnu,,Ecoelephant,"26/06, Jishnu",Zero Waste,Consumer Goods,South Africa,info@ecoelephant.co.za,https://ecoelephant.co.za/,Yes,,,,Active,Private,Online and wholesale zero-waste store with refillable eco-products,,,South Africa,,,,,,,,"Online and wholesale zero-waste store providing refillable eco-products such as scrubbers and straws, along with reusable household goods."
Prathmesh,,EcoEnclose,"02/07, Jishnu",Reusable Packagaing,Packaging Solutions,United States,hello@ecoenclose.com,https://www.ecoenclose.com/,Yes,ecoenclose,Yes,,Active,Private,B2B sustainable e-commerce packaging solutions,,,United States,,,,,,,,Provides delivery solutions with sustainable packaging with zero waste 
Jishnu,,EcoLiving,"25/06, Jishnu",Reusable Products,Consumer Goods,United Kingdom,hello@ecoliving.co.uk,https://www.ecoliving.co.uk/,Yes,,,,Active,Private,Plastic-free home and body care products designed for reuse,,,United Kingdom,,,,,,,,Produces plastic-free home and body care products designed for reuse or without packaging.
Giulia ,,EcoNowCA ,"01/07, Jishnu",Refillable Products ,Consumer goods ,United States,contact@econowca.com ,https://www.econowca.com/,,,,,,,,,,,,,,,,,,Refillable and eco-store platform across European markets
Giulia ,,EcoPanplas ,low priority,Reusable Packaging,Reusable Packaging,Brazil ,contato@ecopanlas.com.br ,https://ecopanplas.com.br/,Yes,,,,Active,Private,Reusable containers from recycled plastic + Refillcycle for businesses,,,Brazil,,,,,,,,Designs reusable containers for industrial andretial clients from recycled plastic. They have a Refillcycle' which cournages businesses to adopt returnable containers for goods like grain oils and cleaning supplies. 
Jishnu,,EcoPost,low priority,Zero Waste,Consumer Goods,Kenya,info@ecopost.co.ke,https://www.ecopost.co.ke/,Yes,,,,Active,Private,Recycled plastic into durable fencing posts and construction materials,,,Kenya,,,,,,,,Transforms recycled plastic waste into durable fencing posts and construction materials providing sustainable alternatives to timber and enabling local circular reuse.
Prathmesh,,EcoRoots,"27/06, Jishnu",Zero Waste,Household Cleaning Products,United States,hello@ecoroots.us,https://ecoroots.us/,Yes,ecoroots,Yes,2019,Active,Private,Zero-waste lifestyle products delivered plastic-free,,,United States,,,,,,US-based brand. One dataset entry may be misclassified as UK — HQ is US.,,Sells zero-waste products and focuses on eliminating single-use packaging
Giulia ,,EcoRoots ,"01/07, Jishnu",Reusable Products ,Consumer goods ,United Kingdom,hello@ecoroots.us,https://ecoroots.us/,Yes,ecoroots,Yes,2019,Active,Private,Zero-waste lifestyle products delivered plastic-free,,,United States,,,,,,US-based brand. One dataset entry may be misclassified as UK — HQ is US.,,Zero-waste lifestyle products delivered plastic-free
Jishnu,,ecostore,7/7 Krita,Refillable Products,Consumer Goods,New Zealand,info@ecostore.co.nz,https://ecostore.com/nz/,Yes,ecostoreworld,Yes,1993,Active,Private,B2C natural products + hundreds of refill stations,,,"New Zealand, Australia, global",,,,,,,,Operates hundreds of refill stations for home cleaning and personal care using reusable bottles and aluminium packaging.
Jishnu,,ecostore Japan,low priority,Refill Stations,Consumer Goods,Japan,https://www.facebook.com/ecostorejp,https://ecostore.jp/Page/contents/refillstation.aspx,Yes,,,,Active,Private (ecostore licensee),In-store bulk refill stations — bring-your-own-container,,,Japan,,,,,,,,"Natural cleaning/beauty brand with in-store bulk refill stations, allowing bring-your-own-container refills at select retailers."
Jishnu,,ecostore papalagi,low priority,Refill Stations,Consumer Goods,Japan,https://www.facebook.com/ecostore.papalagi/,https://ecostorepapalagi.com/,Yes,,,,Active,Private,Plastic-free retail + refill stations for hygiene and cleaning products,,,Japan (Kanagawa),,,,,,,,Plastic-free retail store in Kanagawa offering refill stations and bulk hygiene and cleaning products supporting container reuse.
Jishnu,,Ecotutu,low priority,Refill and Reuse supply chain ,Business Service Provider,Nigeria,https://www.ecotutu.com/contact-us,https://www.ecotutu.com/,Yes,,,,Active,Private,Refillable solar-powered cold storage units for agricultural use,,,Nigeria,,,,,,,,"Offers refillable solar-powered cold storage units for agricultural use, preventing waste and encouraging shared infrastructure use."
Prathmesh ,,EcoU,low priority,Eco-friendly product ,Consumer Goods,Singapore,hey@ecou.com.sg,https://www.ecou.com.sg/,Yes,,,,Active,Private,"B2C sustainable materials consumer goods (birch wood, sugarcane bagasse)",,,Singapore,,,,,,,,"products made from a great range of environmentally sustainable materials such as birch wood, sugarcane bagasse"
Giulia ,,Ecourage,"01/07, Jishnu",Reusable Packaging and Refill,Refillable tech solutions ,Portugal,contact@ecourage-global.com ,https://www.ecourage-global.com/,Yes,,,,Active,Private,Smart NFC reusable packaging with personalised refill tracking,,,Portugal,,,,,,,,"Reusable package with a smart NFC cap, that offers a  mess free shopping experience. Each refill is personalised - track refill history, customise products."
Selina,,Ecover,"03/07, Jishnu",Sustainable Cleaning,Household Cleaning Products,Belgium,hello@ecover.com,https://www.ecover.com/,Yes,ecover,Yes,1979,Active,"Subsidiary (SC Johnson, part of Method/Ecover merger 2019)",B2C eco cleaning products + refill pouches,201-500 employees,,Belgium and global,,,,,,Pioneer in eco-cleaning since 1979. Now part of SC Johnson alongside Method.,,Produces eco-friendly cleaning products with a focus on sustainability
Jishnu,,EcoVibe,"25/06, Jishnu",Refillable Products,Consumer Goods,United Kingdom,hello@ecovibe.co.uk,https://ecovibe.co.uk/,Yes,,,,Active,Private,B2C plastic-free refillable cleaning and care products (sachets + reusable bottles),,,United Kingdom,,,,,,,,"Provides plastic-free refillable cleaning and care products via sachets and reusable bottles, available online and in-store."
Prathmesh ,,Ecoworks,low priority,Refill Stations,Consumer Goods,Singapore,support@ecoworks.sg,https://www.ecoworks.sg/,Yes,,,,Active,Private,Mobile/pop-up home-care refill stations across neighbourhoods,,,Singapore,,,,,,,,Mobile/pop-up home-care refill stations across neighbourhoods—customers just bring a container and enjoy refill benefits
Kaat,,Effecorta,"03/07, Jishnu",Refillable Products ,Consumer goods ,Italy,milano@effecorta.it,https://shorturl.at/ede03,Yes,,,,Active,Private,Bulk refill food dispensers in-store,,,Italy,,,,,,,,Sells food at rfeillable stations
Giulia ,,EKOH-Store ,45840,Refillable products ,Consumer Goods ,Finland,support@ekoh-store.com,https://ekoh-store.com/,Yes,,,,Active,Private,"Refillable products for household, kitchen and cleaning",,,Finland,,,,,,,,"Offers refillable products for household items, for the kitchen and cleaning. "
Kaat,,Ekolo,"04/07, Jishnu",Refillable Products,Consumer Goods,Finland,nettikauppa@ekolo.fi,https://www.mediterrolio.com/listing/ekolo/,Yes,,,,Active,Private,Zero-waste refill dispensers for food and beauty products,,,Finland,,,,,,,,Zero waste shop where customers can refill food and beauty products from bulk dispensers
Kaat,,Ekoplaza,not suitable currently,ZeroWaste,Consumer Goods,Netherlands,info@ekoplaza.be,https://www.ekoplaza.be/,Yes,,,,Active,Private,Organic supermarket chain with plastic-free aisles,,,Netherlands and Belgium,,,,,,,,"Organic supermarket chain that introduced plastic-free aisles in their shops, high focus on sustainable packaging"
Kaat,,Ekopullo,not suitable currently,Reusable Packaging,Reusable Packaging,Finland,ekopullo@palpa.fi,https://www.ekopullo.fi/en/,Yes,,,,Active,Non-profit (PALPA — Finnish Beverage Container Recycling Ltd),Deposit-based return system management for refillable glass bottles,,,Finland,,,,,,,,A non-profit organisation that manages the deposit-based return system for  refillable glass bottles
Kaat,,Elamise Kergus,"03/07, Jishnu",Zero Waste,Consumer Goods ,Estonia,https://pood.elamisekergus.ee/kontakt/,https://pood.elamisekergus.ee,Yes,,,,Active,Private,"Zero-waste shop for cosmetics, lifestyle and home goods",,,Estonia,,,,,,,,"Zero waste shop for cosmetics, lifestyle products, home goods"
Prathmesh,,Elate Cosmetics,"02/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,support@elatebeauty.com,https://elatebeauty.com/en-gb,Yes,elatebeauty,Yes,2016,Active,Private,B2C vegan cosmetics in reusable sustainable packaging,,,United States,,,,,,,,"Vegan consumer products,reusable and sustainable packaging"
Sam,,Embol,low priority,Reusable Packaging ,Consumer Goods ,Bolivia,crc-web@embol.com>,https://embol.com/,Yes,,,,Active,Private,Returnable 2.5-litre bottle system (90%+ return rate),,,Bolivia,,,,,,,," Aggressively promoted its 2.5-litre returnable bottle, above 90% return rate"
Jishnu,,Emmaüs France,not suitable currently,Reusable Products,Social Enterprise,France,contact@emmaus-france.org,https://emmaus-france.org/,Yes,emmausfrance,Yes,1949,Active,Non-profit,Second-hand goods + community reuse centres + local refill programs,,,France,,,,,,,,Provides second‑hand goods and reuse-driven initiatives including local refill programs and community reuse centers.
Jishnu,,Envie,not suitable currently,Reusable Products,Social Enterprise,France,https://www.envie.org/contactez-nous/,https://www.envie.org/,Yes,,,,Active,Non-profit social enterprise,Electronics refurbishment for reuse + refillable packaging collection pilots,,,France,,,,,,,,"Social enterprise refurbishing electronics for reuse, and piloting refillable packaging collection in second-hand centers."
Jishnu,,Ernie’s Zero Waste Shop,"03/07, Jishnu",Refill Stations,Consumer Goods,United Kingdom,hello@ernieszerowasteshop.co.uk,https://www.ernieszerowasteshop.co.uk/,,,,,,,,,,,,,,,,,,"Enables customers to refill food, cleaning, and personal care items using their own containers to eliminate single-use plastic packaging entirely."
Jishnu,,Estado Natural,"26/06, Jishnu",Refill Stations,Consumer Goods,Mexico,yocompro@estadonatural.com.mx,https://estadonatural.com.mx/,Yes,,,,Active,Private,Bulk no-brand groceries with home delivery + minimal packaging support,,,Mexico,,,,,,,,"Provides bulk no-brand groceries (spices, pasta, nuts) with home delivery and minimal packaging, supporting container reuse."
Prathmesh,,ETEE,"27/06, Jishnu",Sustainable Packaging,Household Cleaning Products,Canada, info@shopetee.com ,https://www.shopetee.com/,Yes,shopetee,Yes,,Active,Private,Plastic-free biodegradable household and personal hygiene products,,,Canada,,,,,,,,"ETEE (Everything Touches Everything Else) focuses on making household and personal hygiene products more sustainable and use plastic-free, biodegradable packaging. "
Prathmesh,,Ethique,"26/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,New Zealand,hello@ethique.com,https://ethique.com/,Yes,ethique_nz,Yes,2012,Active,Private,B2C solid bar personal care products (zero plastic),,,New Zealand and global,,,,,,,,"Sustainable houshold and laundry products, zero plastic waste"
Giulia ,,Ethique ,"26/06, Jishnu",Refillable products ,Consumer goods ,United States,info@ethiqueworld.com ,https://ethique.co.nz/,Yes,ethique_nz,Yes,2012,Active,Private,B2C solid bar personal care products (zero plastic),,,New Zealand and global,,,,,,,,"Refillable solid bars for soap, shampoo and conditioner, for zero plastic personal care."
Jishnu,,Event-Cup,not suitable currently,Reusable Packaging ,Business Service Provider,United Kingdom,https://www.event-cup.com/en/contact-us,https://www.event-cup.com/en/,Yes,,,,Active,Private,B2B custom reusable cups for festivals and events (full logistics),,,United Kingdom,,,,,,,,"Supplies custom reusable cups for festivals and events, providing washing, logistics, and on‑site staff support."
Jishnu,,Everdrop,"25/06, Jishnu",Refillable Products,Consumer Goods,Germany,https://help.everdrop.de/hc/de/requests/new?ticket_form_id=9923852864017&origin=everdrop.de&_gl=1*1ufs61o*_gcl_au*MjEwODIwMjAyOC4xNzQ5NTU0MTg1*_ga*NDc1MzY4OTc5LjE3NDk1NTQxODY.*_ga_2HBENRYPXX*czE3NDk1NTQxODUkbzEkZzEkdDE3NDk1NTQyNzQkajM1JGwwJGgw,https://www.everdrop.de/,Yes,everdrop.official,Yes,2019,Active,Private,B2C cleaning and laundry tablets + reusable containers,51-200 employees,,"Germany, Europe",,,,,,,,Produces cleaning and laundry tablet refills with reusable containers and carbon-reduced shipping practices.
Kaat,,Eviu,not suitable currently,Reusable Packaging,Packaging solutions ,Netherlands,dieuwertje@enviu.org,https://enviu.org,Yes,,,,Active,Non-profit (Enviu),Innovation incubator for circular reuse solutions,,,Netherlands,,,,,,,,innovative ideas that stimulate circularity of reusable solutions
Jishnu,,Evy Café,not suitable currently,Reusable Products ,Consumer Goods,Switzerland,Evy.cafe1400@gmail.com,https://www.facebook.com/people/Evy-caf%C3%A9/61557951515289/,,,,,,,,,,,,,,,,,,Café offering reusable cups and tap water refills to reduce single-use plastic in everyday beverage consumption.
